order_id,customer_id,product_id,order_date,amount,status
1593,7.0,,2026-04-28 09:30:30,760.23,pending
4538,208.0,,2026-05-30 09:30:30,404.16,cancelled
2766,377.0,96.0,2026-06-16 09:30:30,762.16,pending
588,409.0,50.0,2026-04-29 09:30:30,,pending
4672,378.0,12.0,2026-04-22 09:30:30,851.23,completed
2469,168.0,69.0,2026-04-28 09:30:30,677.79,pending
4871,171.0,98.0,2026-06-03 09:30:30,86.43,completed
3045,332.0,16.0,2026-06-23 09:30:30,155.52,cancelled
2075,431.0,70.0,2026-06-18 09:30:30,822.07,refunded
88,94.0,63.0,2026-05-09 09:30:30,852.44,cancelled
1301,160.0,92.0,2026-05-10 09:30:30,436.37,refunded
4793,456.0,98.0,2026-04-24 09:30:30,612.33,completed
19,414.0,84.0,2026-04-24 09:30:30,984.01,completed
3581,490.0,,2026-04-15 09:30:30,24.56,completed
1368,351.0,83.0,2026-06-10 09:30:30,375.94,
2504,192.0,85.0,2026-06-25 09:30:30,334.66,completed
2463,313.0,84.0,2026-04-29 09:30:30,923.27,
786,69.0,,2026-06-06 09:30:30,841.71,
2976,,33.0,2026-07-11 09:30:30,870.48,completed
3735,90.0,1.0,2026-05-06 09:30:30,607.36,cancelled
1790,,26.0,2026-07-10 09:30:30,110.32,pending
3424,154.0,,2026-05-24 09:30:30,567.79,completed
369,208.0,88.0,2026-05-13 09:30:30,313.74,cancelled
2160,122.0,27.0,2026-06-27 09:30:30,515.93,cancelled
1479,156.0,38.0,2026-06-02 09:30:30,991.11,completed
163,423.0,62.0,2026-06-20 09:30:30,264.4,cancelled
1683,409.0,45.0,2026-04-21 09:30:30,576.89,cancelled
3124,133.0,83.0,2026-06-08 09:30:30,629.32,refunded
3679,79.0,11.0,2026-04-13 09:30:30,400.06,refunded
4316,322.0,87.0,2026-04-12 09:30:30,820.45,completed
1973,355.0,17.0,2026-06-13 09:30:30,92.61,cancelled
4378,244.0,90.0,2026-07-04 09:30:30,157.66,completed
1275,88.0,97.0,2026-06-17 09:30:30,964.62,
4863,60.0,30.0,2026-05-15 09:30:30,609.29,completed
1812,187.0,36.0,2026-06-03 09:30:30,118.95,refunded
840,142.0,100.0,2026-06-21 09:30:30,95.97,cancelled
310,486.0,83.0,2026-07-08 09:30:30,90.41,cancelled
4400,235.0,95.0,2026-06-12 09:30:30,469.01,refunded
4222,395.0,10.0,2026-06-27 09:30:30,145.45,refunded
551,160.0,42.0,2026-06-05 09:30:30,775.79,refunded
517,154.0,18.0,2026-06-01 09:30:30,373.89,pending
4975,,98.0,2026-06-23 09:30:30,268.94,pending
529,89.0,98.0,2026-05-26 09:30:30,550.89,completed
2600,174.0,32.0,2026-04-17 09:30:30,558.92,pending
2841,440.0,66.0,2026-06-23 09:30:30,670.41,completed
2024,52.0,36.0,2026-06-11 09:30:30,,
631,,73.0,2026-06-27 09:30:30,420.3,completed
1018,442.0,20.0,2026-04-30 09:30:30,872.59,pending
2782,20.0,64.0,2026-04-16 09:30:30,383.65,refunded
577,,55.0,2026-05-09 09:30:30,,cancelled
97,142.0,93.0,2026-06-14 09:30:30,74122.0,cancelled
1252,9.0,34.0,2026-05-07 09:30:30,735.63,completed
4692,381.0,5.0,2026-05-04 09:30:30,605.72,refunded
1854,389.0,73.0,2026-06-16 09:30:30,147.84,pending
354,476.0,21.0,2026-07-11 09:30:30,964.87,refunded
1879,55.0,85.0,2026-05-25 09:30:30,63.54,completed
1863,218.0,20.0,2026-04-26 09:30:30,189.55,cancelled
2656,490.0,100.0,2026-06-03 09:30:30,905.63,refunded
2479,62.0,63.0,2026-06-21 09:30:30,759.04,cancelled
4890,83.0,,2026-05-21 09:30:30,619.81,refunded
1241,445.0,,2026-06-03 09:30:30,479.87,completed
4965,101.0,,2026-05-16 09:30:30,21.63,pending
3645,1.0,57.0,2026-04-14 09:30:30,599.88,completed
2882,140.0,27.0,2026-07-09 09:30:30,545.85,refunded
4012,448.0,21.0,2026-05-18 09:30:30,50138.0,refunded
563,39.0,26.0,2026-05-15 09:30:30,279.24,completed
1205,332.0,72.0,2026-05-26 09:30:30,372.77,pending
45,1.0,39.0,2026-05-21 09:30:30,,pending
2079,201.0,50.0,2026-05-25 09:30:30,671.02,refunded
4409,401.0,89.0,2026-07-05 09:30:30,700.4,refunded
1134,,86.0,2026-06-06 09:30:30,771.67,cancelled
153,177.0,76.0,2026-07-02 09:30:30,447.31,refunded
2238,360.0,69.0,2026-05-11 09:30:30,291.58,
1310,20.0,59.0,2026-07-09 09:30:30,,refunded
3555,287.0,,2026-04-22 09:30:30,526.76,completed
241,481.0,11.0,2026-06-25 09:30:30,599.09,refunded
2607,200.0,40.0,2026-05-01 09:30:30,489.26,cancelled
2759,19.0,27.0,2026-07-06 09:30:30,208.12,refunded
1168,324.0,79.0,2026-06-29 09:30:30,793.14,pending
3875,238.0,86.0,2026-06-12 09:30:30,441.53,refunded
2605,321.0,55.0,2026-06-16 09:30:30,,refunded
1962,,19.0,2026-04-18 09:30:30,61.23,
4244,172.0,100.0,2026-06-19 09:30:30,66.96,pending
3415,410.0,11.0,2026-05-03 09:30:30,944.28,cancelled
1652,104.0,20.0,2026-05-25 09:30:30,503.74,
832,174.0,71.0,2026-05-07 09:30:30,406.56,completed
1710,132.0,86.0,2026-06-06 09:30:30,,completed
2255,289.0,84.0,2026-04-24 09:30:30,890.65,pending
1378,449.0,34.0,2026-05-17 09:30:30,290.1,cancelled
4245,404.0,4.0,2026-06-08 09:30:30,15.97,pending
3153,40.0,40.0,2026-06-24 09:30:30,887.03,completed
2336,55.0,60.0,2026-04-15 09:30:30,522.18,cancelled
1933,479.0,19.0,2026-06-22 09:30:30,,cancelled
3895,,58.0,2024-07-11 09:30:30,476.35,refunded
2240,232.0,,2026-05-03 09:30:30,717.43,completed
4464,497.0,91.0,2026-07-10 09:30:30,336.21,completed
1857,429.0,54.0,2026-06-28 09:30:30,516.43,
1831,95.0,1.0,2026-04-25 09:30:30,278.78,pending
638,381.0,57.0,2026-06-24 09:30:30,307.48,cancelled
813,407.0,75.0,2024-07-11 09:30:30,604.83,cancelled
3729,102.0,16.0,2026-06-20 09:30:30,909.35,refunded
4885,388.0,35.0,2026-06-11 09:30:30,241.19,refunded
3736,425.0,29.0,2026-05-12 09:30:30,694.28,pending
2865,416.0,33.0,2026-07-11 09:30:30,75.88,refunded
4714,362.0,,2026-04-13 09:30:30,890.47,pending
4455,49.0,42.0,2026-04-25 09:30:30,814.97,pending
866,218.0,27.0,2026-05-26 09:30:30,192.07,cancelled
4461,326.0,70.0,2026-05-31 09:30:30,160.78,pending
4858,57.0,16.0,2026-06-17 09:30:30,506.49,pending
2425,221.0,15.0,2026-04-30 09:30:30,19.51,pending
56,457.0,,2026-04-24 09:30:30,816.86,refunded
1466,334.0,16.0,2026-06-26 09:30:30,57.26,cancelled
3178,193.0,100.0,2026-04-23 09:30:30,576.99,refunded
4631,249.0,74.0,2026-04-25 09:30:30,480.87,pending
1651,318.0,11.0,2026-05-18 09:30:30,759.67,pending
315,311.0,19.0,2026-05-13 09:30:30,211.98,cancelled
2827,407.0,90.0,2026-05-16 09:30:30,501.18,completed
1059,160.0,82.0,2026-07-09 09:30:30,581.78,cancelled
1136,31.0,,2026-05-23 09:30:30,339.33,pending
1914,30.0,95.0,2024-07-11 09:30:30,977.66,completed
4463,403.0,86.0,2026-06-03 09:30:30,168.17,cancelled
2462,273.0,21.0,2026-05-01 09:30:30,782.78,
110,,5.0,2026-04-14 09:30:30,597.87,cancelled
1741,248.0,83.0,2026-04-27 09:30:30,189.29,cancelled
1818,302.0,68.0,2026-05-26 09:30:30,745.5,cancelled
1612,159.0,76.0,2026-04-25 09:30:30,579.34,refunded
3636,126.0,,2026-04-16 09:30:30,55.93,refunded
4545,348.0,93.0,2026-07-03 09:30:30,446.81,refunded
1582,44.0,18.0,2026-05-25 09:30:30,261.98,cancelled
2470,458.0,92.0,2026-04-29 09:30:30,926.1,pending
4561,69.0,27.0,2026-06-14 09:30:30,788.27,refunded
48,264.0,85.0,2026-04-18 09:30:30,93.95,cancelled
2727,358.0,25.0,2026-04-29 09:30:30,795.88,cancelled
1153,277.0,83.0,2026-05-23 09:30:30,72.36,refunded
469,225.0,93.0,2026-05-28 09:30:30,481.4,
2173,310.0,30.0,2026-05-26 09:30:30,656.8,refunded
3037,297.0,37.0,2026-04-27 09:30:30,417.43,pending
4616,485.0,52.0,2026-04-17 09:30:30,,
4721,40.0,1.0,2026-05-20 09:30:30,441.15,cancelled
286,,,2026-05-26 09:30:30,517.96,completed
4962,285.0,88.0,2026-06-30 09:30:30,299.68,pending
1957,48.0,4.0,2026-05-31 09:30:30,,completed
1369,447.0,42.0,2026-07-10 09:30:30,474.19,pending
900,217.0,81.0,2026-06-13 09:30:30,,cancelled
2733,31.0,61.0,2026-05-26 09:30:30,849.3,pending
3181,151.0,3.0,2026-05-30 09:30:30,569.69,cancelled
1419,97.0,4.0,2026-07-09 09:30:30,699.07,refunded
2684,139.0,90.0,2026-07-07 09:30:30,698.34,cancelled
814,176.0,59.0,2024-07-11 09:30:30,726.94,completed
1517,285.0,90.0,2026-04-16 09:30:30,181.8,
2681,140.0,96.0,2026-05-17 09:30:30,344.14,
1403,332.0,88.0,2026-05-13 09:30:30,679.68,refunded
3980,153.0,57.0,2026-05-27 09:30:30,774.65,cancelled
3873,60.0,10.0,2026-06-22 09:30:30,596.6,refunded
1603,201.0,9.0,2026-05-24 09:30:30,212.16,refunded
2090,,75.0,2026-06-25 09:30:30,700.79,refunded
2822,80.0,,2026-05-18 09:30:30,118.58,refunded
4166,443.0,35.0,2026-06-25 09:30:30,242.94,cancelled
3652,,91.0,2026-04-14 09:30:30,973.08,refunded
4896,448.0,51.0,2026-05-29 09:30:30,254.13,completed
2799,341.0,22.0,2026-06-09 09:30:30,935.16,cancelled
479,317.0,23.0,2026-05-27 09:30:30,847.06,completed
1677,484.0,88.0,2026-06-08 09:30:30,609.38,cancelled
4549,136.0,8.0,2026-06-02 09:30:30,447.91,cancelled
4823,479.0,43.0,2026-05-08 09:30:30,,cancelled
4879,,42.0,2026-06-01 09:30:30,816.18,
1657,267.0,42.0,2026-04-25 09:30:30,873.98,refunded
4213,278.0,38.0,2026-04-29 09:30:30,145.58,completed
3589,207.0,29.0,2026-05-01 09:30:30,667.35,completed
231,40.0,83.0,2026-05-25 09:30:30,833.38,refunded
347,279.0,49.0,2026-06-26 09:30:30,,cancelled
2372,121.0,49.0,2026-05-01 09:30:30,746.61,
1410,237.0,23.0,2026-06-27 09:30:30,743.11,refunded
4591,363.0,36.0,2026-04-29 09:30:30,840.26,completed
3828,267.0,,2026-06-16 09:30:30,209.03,pending
472,287.0,55.0,2026-05-02 09:30:30,168.53,pending
1082,490.0,,2026-05-16 09:30:30,184.41,completed
4067,354.0,64.0,2026-07-09 09:30:30,66.03,cancelled
3973,346.0,42.0,2026-05-01 09:30:30,327.78,cancelled
774,73.0,16.0,2026-05-02 09:30:30,876.02,completed
1497,394.0,12.0,2026-06-23 09:30:30,190.84,cancelled
4651,108.0,13.0,2026-06-04 09:30:30,928.81,pending
3501,,,2026-05-04 09:30:30,618.63,completed
4466,483.0,14.0,2026-05-18 09:30:30,433.83,cancelled
2062,393.0,54.0,2026-05-01 09:30:30,,pending
2192,61.0,37.0,2026-05-28 09:30:30,291.94,refunded
931,165.0,15.0,2026-05-31 09:30:30,415.71,
2097,194.0,18.0,2026-06-28 09:30:30,,pending
4243,480.0,67.0,2026-06-08 09:30:30,521.84,pending
3434,,32.0,2026-04-24 09:30:30,382.55,refunded
2536,46.0,94.0,2026-06-13 09:30:30,527.61,cancelled
280,474.0,67.0,2026-04-14 09:30:30,502.55,completed
4266,17.0,38.0,2026-04-15 09:30:30,20.67,pending
3191,223.0,44.0,2026-04-14 09:30:30,570.61,
494,402.0,27.0,2026-06-20 09:30:30,619.99,completed
1261,426.0,68.0,2026-05-01 09:30:30,617.29,completed
4290,368.0,88.0,2026-06-05 09:30:30,335.28,pending
388,,,2026-04-16 09:30:30,721.9,pending
3676,215.0,63.0,2026-06-16 09:30:30,939.5,completed
1611,364.0,86.0,2026-06-02 09:30:30,437.88,pending
4476,180.0,8.0,2026-05-09 09:30:30,990.67,
4185,244.0,15.0,2024-07-11 09:30:30,919.79,completed
4440,61.0,,2026-05-07 09:30:30,,refunded
2130,362.0,95.0,2026-05-03 09:30:30,213.8,pending
1749,484.0,85.0,2026-05-03 09:30:30,179.89,pending
4817,129.0,70.0,2026-07-07 09:30:30,83.17,completed
4940,284.0,26.0,2026-06-28 09:30:30,495.98,refunded
4658,61.0,58.0,2026-06-13 09:30:30,657.23,completed
313,351.0,52.0,2026-06-10 09:30:30,806.64,refunded
1074,88.0,37.0,2026-05-11 09:30:30,466.63,pending
322,181.0,7.0,2026-06-11 09:30:30,222.99,
4240,496.0,52.0,2026-06-15 09:30:30,729.36,refunded
1561,355.0,30.0,2026-07-11 09:30:30,642.38,pending
3664,,36.0,2026-07-07 09:30:30,637.7,pending
3108,384.0,78.0,2026-07-04 09:30:30,789.59,pending
1364,,35.0,2026-06-17 09:30:30,946.59,refunded
2139,196.0,50.0,2026-05-09 09:30:30,28.66,completed
2697,4.0,11.0,2026-05-16 09:30:30,193.08,pending
960,375.0,51.0,2026-06-22 09:30:30,60.01,completed
61,79.0,91.0,2026-06-12 09:30:30,389.2,completed
2351,325.0,64.0,2026-06-25 09:30:30,729.52,
3427,78.0,60.0,2026-05-01 09:30:30,904.77,refunded
1558,244.0,89.0,2026-05-29 09:30:30,197.46,cancelled
1039,212.0,6.0,2026-04-24 09:30:30,999.0,cancelled
2205,136.0,61.0,2026-06-13 09:30:30,676.61,refunded
331,264.0,18.0,2026-06-22 09:30:30,610.2,cancelled
2291,429.0,86.0,2026-04-17 09:30:30,409.14,completed
1993,431.0,,2026-05-13 09:30:30,291.52,completed
2900,,9.0,2026-06-16 09:30:30,606.61,
4497,421.0,70.0,2026-05-07 09:30:30,378.03,refunded
922,,46.0,2026-06-17 09:30:30,31.14,cancelled
2724,243.0,9.0,2026-05-25 09:30:30,569.67,refunded
4660,408.0,98.0,2026-07-07 09:30:30,711.35,cancelled
4275,25.0,39.0,2026-06-13 09:30:30,354.58,refunded
2252,254.0,22.0,2026-07-07 09:30:30,886.65,refunded
261,,11.0,2026-05-15 09:30:30,619.19,cancelled
1877,29.0,96.0,2026-06-15 09:30:30,829.54,completed
670,438.0,20.0,2026-05-20 09:30:30,63.52,
1506,326.0,65.0,2026-05-15 09:30:30,93.07,pending
1228,497.0,95.0,2026-06-01 09:30:30,164.49,
140,495.0,76.0,2026-07-07 09:30:30,134.98,completed
1622,284.0,16.0,2026-05-20 09:30:30,992.47,completed
1028,92.0,21.0,2026-07-05 09:30:30,117.8,pending
3156,301.0,18.0,2026-05-29 09:30:30,839.68,pending
475,110.0,27.0,2026-05-23 09:30:30,14.41,completed
1995,386.0,45.0,2026-06-03 09:30:30,,completed
3525,331.0,85.0,2026-06-22 09:30:30,976.03,refunded
3090,305.0,69.0,2026-05-15 09:30:30,165.82,pending
459,217.0,49.0,2026-04-18 09:30:30,162.6,refunded
2368,293.0,11.0,2026-07-07 09:30:30,664.09,cancelled
78,491.0,49.0,2026-04-29 09:30:30,680.57,pending
2101,458.0,1.0,2026-07-07 09:30:30,811.91,refunded
4328,285.0,,2026-04-28 09:30:30,397.87,pending
4473,163.0,29.0,2026-06-26 09:30:30,713.71,pending
4613,214.0,11.0,2026-04-29 09:30:30,881.26,refunded
22,108.0,92.0,2026-06-07 09:30:30,288.94,pending
3452,214.0,52.0,2026-07-08 09:30:30,789.82,refunded
4683,431.0,85.0,2026-06-29 09:30:30,768.28,completed
4333,292.0,74.0,2026-06-06 09:30:30,,completed
2426,315.0,97.0,2026-04-27 09:30:30,807.71,completed
334,189.0,43.0,2026-05-12 09:30:30,817.59,refunded
4904,249.0,38.0,2026-05-16 09:30:30,166.35,pending
937,481.0,54.0,2026-05-26 09:30:30,562.44,completed
1133,151.0,,2026-04-13 09:30:30,192.42,refunded
4351,461.0,,2026-05-23 09:30:30,355.48,pending
874,134.0,47.0,2026-05-15 09:30:30,,cancelled
3936,298.0,69.0,2026-06-15 09:30:30,404.68,completed
4381,386.0,55.0,2026-06-11 09:30:30,369.71,cancelled
4432,475.0,20.0,2026-04-28 09:30:30,99.12,refunded
4006,293.0,45.0,2026-05-30 09:30:30,63876.0,pending
312,280.0,38.0,2026-05-09 09:30:30,890.11,refunded
170,485.0,5.0,2026-06-27 09:30:30,148.38,refunded
2341,243.0,92.0,2026-05-08 09:30:30,379.1,cancelled
4696,119.0,,2026-07-08 09:30:30,915.83,refunded
4567,12.0,74.0,2026-06-11 09:30:30,689.15,cancelled
2917,462.0,30.0,2026-06-10 09:30:30,150.89,cancelled
656,247.0,9.0,2026-06-03 09:30:30,687.57,cancelled
2421,125.0,75.0,2026-07-04 09:30:30,215.65,refunded
2778,326.0,96.0,2026-06-15 09:30:30,129.12,refunded
907,,48.0,2026-06-02 09:30:30,787.87,completed
679,258.0,76.0,2026-06-25 09:30:30,111.68,pending
2559,204.0,80.0,2026-05-01 09:30:30,542.87,pending
495,144.0,,2026-04-30 09:30:30,357.31,pending
4837,78.0,16.0,2026-06-20 09:30:30,257.01,
2159,56.0,10.0,2024-07-11 09:30:30,242.35,refunded
2078,149.0,86.0,2026-05-12 09:30:30,485.66,refunded
844,295.0,,2026-05-14 09:30:30,,pending
3701,91.0,,2026-06-06 09:30:30,135.21,cancelled
1449,259.0,22.0,2026-05-12 09:30:30,347.91,cancelled
326,186.0,71.0,2026-04-30 09:30:30,566.2,completed
2443,361.0,26.0,2026-06-06 09:30:30,29.28,
2674,454.0,48.0,2026-05-29 09:30:30,,pending
3603,352.0,3.0,2026-06-29 09:30:30,605.02,cancelled
4759,210.0,62.0,2026-06-22 09:30:30,37.04,
888,146.0,57.0,2026-06-12 09:30:30,254.92,pending
948,18.0,37.0,2026-05-22 09:30:30,10.19,completed
4604,270.0,19.0,2026-05-07 09:30:30,776.61,pending
1465,31.0,48.0,2026-05-08 09:30:30,,cancelled
4554,366.0,78.0,2026-06-17 09:30:30,882.3,cancelled
1779,98.0,96.0,2026-05-21 09:30:30,23.76,refunded
3727,155.0,30.0,2026-05-18 09:30:30,36.21,completed
4422,,36.0,2026-04-20 09:30:30,,completed
2573,310.0,30.0,2026-06-28 09:30:30,809.18,pending
4600,351.0,58.0,2026-04-13 09:30:30,82.5,pending
1354,206.0,,2026-04-20 09:30:30,144.73,cancelled
214,255.0,,2026-05-31 09:30:30,128.78,pending
524,434.0,85.0,2026-04-14 09:30:30,36.56,pending
614,122.0,13.0,2026-04-18 09:30:30,288.71,refunded
647,177.0,,2026-04-27 09:30:30,555.82,completed
1566,,23.0,2026-07-08 09:30:30,207.13,cancelled
623,,76.0,2024-07-11 09:30:30,419.85,completed
1302,252.0,85.0,2026-06-27 09:30:30,573.17,refunded
3570,241.0,23.0,2026-06-06 09:30:30,849.14,pending
803,,78.0,2026-05-28 09:30:30,491.99,
2486,5.0,17.0,2026-06-10 09:30:30,185.58,pending
4988,224.0,12.0,2026-05-11 09:30:30,704.71,cancelled
1158,,63.0,2026-07-02 09:30:30,46.51,
1404,269.0,11.0,2026-05-05 09:30:30,633.26,refunded
1918,470.0,51.0,2026-06-18 09:30:30,734.46,
2116,307.0,95.0,2026-07-02 09:30:30,950.41,completed
2905,,17.0,2026-07-05 09:30:30,474.38,cancelled
4926,245.0,71.0,2026-04-13 09:30:30,65152.0,refunded
1389,63.0,,2026-04-15 09:30:30,981.52,
144,195.0,41.0,2026-04-16 09:30:30,860.75,completed
1796,170.0,5.0,2026-05-22 09:30:30,426.85,pending
3591,452.0,31.0,2026-06-09 09:30:30,528.78,pending
2065,344.0,1.0,2026-05-22 09:30:30,134.68,refunded
2108,,50.0,2026-06-04 09:30:30,923.05,completed
683,68.0,28.0,2026-06-13 09:30:30,729.9,pending
590,486.0,73.0,2026-04-12 09:30:30,703.56,pending
1308,127.0,31.0,2026-07-04 09:30:30,664.63,completed
3709,101.0,32.0,2026-04-19 09:30:30,549.02,refunded
480,61.0,31.0,2026-04-16 09:30:30,,completed
1799,473.0,95.0,2026-05-21 09:30:30,506.84,pending
934,,90.0,2026-04-18 09:30:30,495.01,cancelled
4226,197.0,3.0,2026-06-21 09:30:30,234.81,
168,483.0,72.0,2026-07-08 09:30:30,623.35,pending
2373,436.0,16.0,2026-05-24 09:30:30,,refunded
1615,,95.0,2026-05-14 09:30:30,,cancelled
1390,42.0,59.0,2026-05-31 09:30:30,162.24,refunded
4691,228.0,15.0,2026-05-21 09:30:30,540.4,refunded
3179,152.0,19.0,2026-06-30 09:30:30,890.26,
3478,438.0,82.0,2026-05-24 09:30:30,785.45,refunded
4149,,73.0,2026-06-16 09:30:30,983.77,completed
3375,347.0,100.0,2026-05-25 09:30:30,448.38,cancelled
1208,258.0,88.0,2026-05-27 09:30:30,898.95,cancelled
2830,135.0,86.0,2026-07-03 09:30:30,74.52,refunded
4335,69.0,53.0,2026-04-14 09:30:30,448.95,completed
4638,222.0,1.0,2026-06-24 09:30:30,661.28,cancelled
3144,208.0,83.0,2026-05-09 09:30:30,224.61,pending
751,,46.0,2026-05-10 09:30:30,792.01,cancelled
1469,127.0,,2026-05-24 09:30:30,524.47,pending
942,296.0,46.0,2026-06-28 09:30:30,768.62,refunded
535,489.0,31.0,2026-04-13 09:30:30,443.11,pending
3087,216.0,14.0,2026-04-15 09:30:30,844.48,pending
4564,335.0,24.0,2026-04-23 09:30:30,,pending
3932,255.0,33.0,2026-06-02 09:30:30,689.14,cancelled
4763,17.0,41.0,2026-06-24 09:30:30,285.1,pending
530,,34.0,2026-07-09 09:30:30,591.49,completed
3831,240.0,57.0,2026-06-16 09:30:30,261.1,completed
3490,368.0,53.0,2026-06-07 09:30:30,451.65,pending
4038,261.0,31.0,2026-04-18 09:30:30,,refunded
3774,47.0,81.0,2026-06-16 09:30:30,124.14,cancelled
2224,171.0,46.0,2026-06-30 09:30:30,782.63,completed
3900,383.0,21.0,2026-05-28 09:30:30,936.88,cancelled
4800,63.0,37.0,2026-06-26 09:30:30,140.5,pending
156,425.0,85.0,2026-04-13 09:30:30,302.28,cancelled
3496,385.0,30.0,2026-04-17 09:30:30,561.92,cancelled
413,484.0,88.0,2026-05-09 09:30:30,555.14,cancelled
363,405.0,,2026-07-10 09:30:30,739.25,pending
1600,391.0,100.0,2026-04-15 09:30:30,755.1,cancelled
209,249.0,78.0,2026-05-16 09:30:30,665.32,refunded
1748,64.0,65.0,2026-07-07 09:30:30,93.76,
2854,355.0,63.0,2026-05-12 09:30:30,343.7,completed
3659,,30.0,2024-07-11 09:30:30,136.19,pending
10,300.0,62.0,2026-06-01 09:30:30,,pending
3346,78.0,15.0,2026-04-21 09:30:30,159.42,
4747,357.0,69.0,2026-07-04 09:30:30,108.91,pending
3923,,,2026-05-28 09:30:30,664.13,pending
3684,434.0,22.0,2026-05-14 09:30:30,197.88,pending
3646,116.0,92.0,2026-05-28 09:30:30,843.44,completed
3229,215.0,22.0,2026-05-06 09:30:30,931.28,cancelled
3474,227.0,44.0,2026-05-26 09:30:30,495.13,
4105,,66.0,2026-06-02 09:30:30,461.62,refunded
1107,409.0,38.0,2024-07-11 09:30:30,960.98,pending
2071,320.0,89.0,2026-07-11 09:30:30,807.56,completed
3912,39.0,25.0,2026-06-28 09:30:30,10.81,pending
4008,382.0,75.0,2026-06-23 09:30:30,,completed
906,253.0,28.0,2026-06-30 09:30:30,159.18,refunded
4596,500.0,76.0,2026-06-25 09:30:30,747.85,refunded
4415,28.0,77.0,2026-07-06 09:30:30,123.29,refunded
2239,255.0,94.0,2026-05-24 09:30:30,27.04,cancelled
96,487.0,98.0,2026-06-26 09:30:30,745.45,
4500,47.0,49.0,2026-04-25 09:30:30,700.84,refunded
3838,35.0,75.0,2026-05-03 09:30:30,303.05,completed
118,429.0,74.0,2026-06-12 09:30:30,962.29,completed
915,58.0,31.0,2026-04-17 09:30:30,225.61,cancelled
131,332.0,20.0,2026-05-13 09:30:30,947.59,
1587,257.0,66.0,2026-07-01 09:30:30,301.57,completed
4271,452.0,45.0,2026-06-08 09:30:30,70.26,cancelled
4923,216.0,92.0,2026-05-09 09:30:30,433.63,
4710,33.0,57.0,2026-04-24 09:30:30,123.76,cancelled
3518,412.0,80.0,2026-05-04 09:30:30,737.99,refunded
4748,299.0,11.0,2026-07-01 09:30:30,318.9,completed
2354,372.0,11.0,2026-05-24 09:30:30,517.51,
1021,130.0,2.0,2026-07-11 09:30:30,626.33,refunded
3620,321.0,79.0,2026-07-02 09:30:30,547.33,pending
416,278.0,83.0,2026-06-18 09:30:30,917.73,completed
4734,193.0,34.0,2026-05-10 09:30:30,688.46,cancelled
3313,483.0,5.0,2026-06-22 09:30:30,864.11,pending
1776,44.0,96.0,2026-06-20 09:30:30,,refunded
930,393.0,71.0,2024-07-11 09:30:30,686.39,cancelled
237,405.0,81.0,2026-04-16 09:30:30,,completed
3211,473.0,50.0,2026-04-22 09:30:30,827.75,pending
4086,39.0,84.0,2026-05-07 09:30:30,,refunded
1915,149.0,49.0,2026-06-22 09:30:30,854.53,refunded
3587,160.0,69.0,2026-05-12 09:30:30,210.16,pending
2345,21.0,16.0,2026-07-05 09:30:30,47012.0,refunded
921,286.0,83.0,2026-05-10 09:30:30,240.35,refunded
704,399.0,,2026-06-18 09:30:30,615.21,completed
1320,,26.0,2026-05-17 09:30:30,666.82,refunded
4901,114.0,11.0,2026-05-27 09:30:30,189.47,
2176,61.0,11.0,2026-06-05 09:30:30,348.16,refunded
3373,186.0,52.0,2026-06-26 09:30:30,26.69,refunded
3927,,,2026-05-29 09:30:30,,completed
